C_operator_norm,E_operator_norm,K_operator_norm,Pi_operator_norm,actual_response_norm,amount,beta,config_id,config_role,delta_vs_erm,direction,directional_mismatch_estimated,estimated_A_rec_norm,estimated_E_norm,finite_target_risk,ift_fd_relative_error,legal_shift,matched_random_A_rec_norm,method,min_local_metric_eigenvalue,oracle_A_rec_norm,oracle_E_norm,pseudo_response_loss,random_E_norm,slack_diagnostic,slack_margin,source_risk,static_tax_proxy,target_used_for_selection,target_used_for_training
,0.00018495521942989658,,,0.052223719152928005,-0.1,,gaussian_primary_1,independent_primary,0.0,0,0.0,0.052223719152928005,0.0,0.2929801660027731,,True,0.052223719152928005,ERM,,0.05234761473963797,0.00018495521942989658,,0.06539357562078123,one_direction_complete_information,-3.42084331943612e-08,0.29347225928678156,0.0,False,False
0.467916685106953,0.0006234964665405489,1.0,2.0461680046700432,0.05176393767840815,-0.1,1.0,gaussian_primary_1,independent_primary,-5.472597337519147e-07,0,0.0005605437442513015,0.052223719152928005,0.0005605437442513015,0.29297961874303935,2.481925182923634e-11,True,0.052223719152928005,PSEUDO_RESPONSE,1.1392202978980093,0.05234761473963797,0.0006234964665405489,9.248391174087385e-06,0.06517779405291678,one_direction_complete_information,-3.8874784378854987e-07,0.2934724166895163,0.0,False,False
0.21682381361253203,0.0004949149302299106,1.0,2.059490051237189,0.05191342957917634,-0.1,1.0,gaussian_primary_1,independent_primary,-5.2955949070288e-07,0,0.00045985007021881805,0.052223719152928005,0.00045985007021881805,0.2929796364432824,1.7680571312207674e-11,True,0.052223719152928005,NO_RESPONSE,1.1392202978980093,0.05234761473963797,0.0004949149302299106,9.779736782212505e-06,0.06527362778101786,one_direction_complete_information,-2.4494078816447725e-07,0.2934723606648142,0.0,False,False
4.763285780011003,0.041115853517102376,1.0,2.028090846520497,0.03816407991007463,-0.1,1.0,gaussian_primary_1,independent_primary,0.0008544561352044067,0,0.040994191308717384,0.052223719152928005,0.040994191308717384,0.2938346221379775,2.1726646138619698e-11,True,0.052223719152928005,RANDOM_RESPONSE,1.1392202978980093,0.05234761473963797,0.041115853517102376,0.0009401992833565386,0.04253959340891876,one_direction_complete_information,-0.0016905134104398198,0.2943284257713331,0.0,False,False
,0.0001663521351386746,,,0.05222634223288732,-0.1,,gaussian_primary_1,independent_primary,1.7302085253412258e-07,0,2.610336579249416e-05,0.052223719152928005,2.610336579249416e-05,0.29298033902362564,,True,0.052223719152928005,MLDG_LOCAL,,0.05234761473963797,0.0001663521351386746,,0.06539975464712312,one_direction_complete_information,-2.7673032865195854e-08,0.29347226440717855,7.215220546995052e-09,False,False
,9.318182179276101e-05,,,0.026029452865772917,-0.05,,gaussian_primary_1,independent_primary,0.0,0,0.0,0.026029452865772917,0.0,0.2816144787780147,,True,0.026029452865772917,ERM,,0.026091185031565243,9.318182179276101e-05,,0.039922608127191936,one_direction_complete_information,-8.68285191261787e-09,0.28212594737626173,0.0,False,False
0.467916685106953,0.00020138245062855932,1.0,2.0461680046700432,0.025894057309494442,-0.05,1.0,gaussian_primary_1,independent_primary,-1.2645634750452217e-07,0,0.00014097683549123432,0.026029452865772917,0.00014097683549123432,0.2816143523216672,1.5509935446562586e-11,True,0.026029452865772917,PSEUDO_RESPONSE,1.1392202978980093,0.026091185031565243,0.00020138245062855932,9.248391174087385e-06,0.039815914570723795,one_direction_complete_information,-4.055489142116413e-08,0.2821259575759705,0.0,False,False
0.21682381361253203,0.0001574371631022664,1.0,2.059490051237189,0.025940078638171975,-0.05,1.0,gaussian_primary_1,independent_primary,-1.5194717428723692e-07,0,0.0001189580648701924,0.026029452865772917,0.0001189580648701924,0.2816143268308404,2.2839701442818007e-11,True,0.026029452865772917,NO_RESPONSE,1.1392202978980093,0.026091185031565243,0.0001574371631022664,9.779736782212505e-06,0.03984276554999766,one_direction_complete_information,-2.4786460325689633e-08,0.28212595439697474,0.0,False,False
4.763285780011003,0.020877867343065154,1.0,2.028090846520497,0.01834528953508694,-0.05,1.0,gaussian_primary_1,independent_primary,0.00021697526626007768,0,0.020819220487890738,0.026029452865772917,0.020819220487890738,0.2818314540442748,1.987320662950795e-11,True,0.026029452865772917,RANDOM_RESPONSE,1.1392202978980093,0.026091185031565243,0.020877867343065154,0.0009401992833565386,0.03769666439219734,one_direction_complete_information,-0.0004358853447946265,0.2823449549504411,0.0,False,False
,8.350511322803995e-05,,,0.02603128259069128,-0.05,,gaussian_primary_1,independent_primary,1.9663981698503363e-07,0,1.2912236724988408e-05,0.026029452865772917,1.2912236724988408e-05,0.2816146754178317,,True,0.026029452865772917,MLDG_LOCAL,,0.026091185031565243,8.350511322803995e-05,,0.039923259066423925,one_direction_complete_information,-6.9731039352277726e-09,0.28212595337275137,7.215220546995052e-09,False,False
