abs_magnitude_ratio_new_over_old,cause,change,claim,new_direction,new_mean_E_change,old_count,old_direction,old_mean_E_change,scientific_impact
0.02525827667162375,Old CMNIST family used target-built/family-specific bridge; repaired bridge uses source-only O/Pi and common source-only projection.,HELP_DIRECTION_PERSISTED_BUT_ATTENUATED_BELOW_10PCT,declared_source_target_coupled_correlation:IRMV1:lambda=0.001,ERM:helps;IRMv1:helps,-8.368913318257398e-06,5,helps,-0.0003313335041443821,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
0.07613561397029826,Old CMNIST family used target-built/family-specific bridge; repaired bridge uses source-only O/Pi and common source-only projection.,HELP_DIRECTION_PERSISTED_BUT_ATTENUATED_BELOW_10PCT,declared_source_target_coupled_correlation:VREX:lambda=0.001,ERM:helps;IRMv1:helps,-8.993719170602433e-06,5,helps,-0.00011812762387535259,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
0.07617971922166288,Old CMNIST family used target-built/family-specific bridge; repaired bridge uses source-only O/Pi and common source-only projection.,HELP_DIRECTION_PERSISTED_BUT_ATTENUATED_BELOW_10PCT,declared_source_target_coupled_correlation:VREX:lambda=0.01,ERM:helps;IRMv1:helps,-8.976281573535582e-05,5,helps,-0.0011783033155342792,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
0.0769632952919506,Old CMNIST family used target-built/family-specific bridge; repaired bridge uses source-only O/Pi and common source-only projection.,HELP_DIRECTION_PERSISTED_BUT_ATTENUATED_BELOW_10PCT,declared_source_target_coupled_correlation:VREX:lambda=0.1,ERM:helps;IRMv1:helps,-0.0008845900669404037,5,helps,-0.01149366153807243,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,irrelevant_source_diversity:VREX:lambda=0.001,no_family_counterpart,,5,helps,-0.00011212987733841829,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,irrelevant_source_diversity:VREX:lambda=0.01,no_family_counterpart,,5,helps,-0.0011184232940088634,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,irrelevant_source_diversity:VREX:lambda=0.1,no_family_counterpart,,5,helps,-0.01090438031210148,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,mechanism_defined_exposed:L2:lambda=0.001,no_family_counterpart,,5,helps,-0.04116021586454259,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,mechanism_defined_exposed:L2:lambda=0.1,no_family_counterpart,,5,helps,-0.5648806092170258,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,mechanism_defined_exposed:VREX:lambda=0.001,no_family_counterpart,,5,helps,-0.00026333637586084535,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,mechanism_defined_exposed:VREX:lambda=0.01,no_family_counterpart,,5,helps,-0.002627728175703936,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,mechanism_defined_exposed:VREX:lambda=0.1,no_family_counterpart,,5,helps,-0.02572681165000503,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,mechanism_defined_hidden:IRMV1:lambda=0.001,no_family_counterpart,,5,helps,-0.0003313335041443821,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
,The focused repair only rebuilds the source-only declared coupled CMNIST bridge; this old family identity is not reproduced under the repaired scope.,OLD_HELP_NOT_REPRODUCED_NO_REPAIRED_FAMILY_COUNTERPART,mechanism_defined_hidden:VREX:lambda=0.001,no_family_counterpart,,5,helps,-0.00011812762387606313,Tracks whether the old positive regularizer-response premise survives the repaired source-only bridge; attenuated or missing counterparts weaken the 3C-to-Task3 algorithm-design premise.
