G_repr,G_use,R_actual,R_core,R_head,R_probe,alpha,checkpoint,d_z,lr,momentum,optimizer,optimizer_config,preference_margin,q_hat,rho_bar,seed,shortcut_reliance,sigma_c,source_prefers_shortcut_predicted,source_risk
0.5347091940405868,0.10448666086240843,0.785876295487711,0.10500406526539778,0.6813896346253026,0.6397132593059845,1.0,0,2,0.05,0.0,sgd,sgd_fast,0.31796875,0.58203125,0.9,10,0.013701258345158753,0.0,True,0.757836430896747
0.5747088120573757,0.2381581837117417,0.9803933881597986,0.10500406526539778,0.7422352044480569,0.6797128773227734,1.0,100,2,0.05,0.0,sgd,sgd_fast,0.31357421875,0.58642578125,0.9,10,0.3114666169220668,0.0,True,0.4694599891880819
0.4730544993148394,0.9858693908046461,1.75809655804956,0.10500406526539778,0.7722271672449139,0.5780585645802372,1.0,250,2,0.05,0.0,sgd,sgd_fast,0.22080078125000002,0.67919921875,0.9,10,0.736986445202344,0.0,True,0.29414491207792115
0.4548817816236113,0.5077087899611923,1.3458595027794336,0.10500406526539778,0.8381507128182413,0.5598858468890091,1.0,500,2,0.05,0.0,sgd,sgd_fast,0.10800781250000002,0.7919921875,0.9,10,0.6490249383981509,0.0,True,0.21787653815874358
0.39831912736410574,0.04037946852831631,0.5437073945375224,0.10500406526539778,0.5033279260092061,0.5033231926295035,1.0,1000,2,0.05,0.0,sgd,sgd_fast,0.08554687500000002,0.814453125,0.9,10,0.314968485315553,0.0,True,0.09141369552108616
0.17459122409689226,-0.003218289496277227,0.28727948243744017,0.10500406526539778,0.2904977719337174,0.27959528936229006,1.0,2000,2,0.05,0.0,sgd,sgd_fast,-0.003808593749999978,0.90380859375,0.9,10,0.1571891982979724,0.0,False,0.038606037995749375
0.06734039168813465,-0.00997862500011587,0.18588978782296112,0.10500406526539778,0.195868412823077,0.17234445695353243,1.0,5000,2,0.05,0.0,sgd,sgd_fast,-0.04580078124999998,0.94580078125,0.9,10,0.08886809499499312,0.0,False,0.015047267173107327
0.5347091940405868,0.10448666086240843,0.785876295487711,0.10500406526539778,0.6813896346253026,0.6397132593059845,1.0,0,2,0.01,0.0,sgd,sgd_slow,0.31796875,0.58203125,0.9,10,0.013701258345158753,0.0,True,0.757836430896747
0.5698739321154729,0.05640940747586187,0.7554805373657265,0.10500406526539778,0.6990711298898646,0.6748779973808706,1.0,100,2,0.01,0.0,sgd,sgd_slow,0.3443359375,0.5556640625,0.9,10,0.027506668668413427,0.0,True,0.703465796149888
0.598534920708137,0.03222610358182354,0.769796923047464,0.10500406526539778,0.7375708194656405,0.7035389859735347,1.0,250,2,0.01,0.0,sgd,sgd_slow,0.339453125,0.560546875,0.9,10,0.0842646895436229,0.0,True,0.6282498672047686
0.5745446116235184,0.24294009872126443,0.9851502535448298,0.10500406526539778,0.7422101548235653,0.6795486768889162,1.0,500,2,0.01,0.0,sgd,sgd_slow,0.30966796875,0.59033203125,0.9,10,0.31552113565129103,0.0,True,0.46714796502555544
0.5039151324610859,0.9390363440024054,1.6967328914214606,0.10500406526539778,0.7576965474190551,0.6089191977264836,1.0,1000,2,0.01,0.0,sgd,sgd_slow,0.261328125,0.638671875,0.9,10,0.7082834730867554,0.0,True,0.30919548927686535
0.39852616430536264,0.7363871717241082,1.5587606000120044,0.10500406526539778,0.8223734282878963,0.5035302295707604,1.0,2000,2,0.01,0.0,sgd,sgd_slow,0.12070312500000002,0.779296875,0.9,10,0.7051481562241139,0.0,True,0.2508967864923345
0.3978329442990796,0.040296357104987135,0.5430695173562425,0.10500406526539778,0.5027731602512554,0.5028370095644774,1.0,5000,2,0.01,0.0,sgd,sgd_slow,0.08554687500000002,0.814453125,0.9,10,0.31461815264431414,0.0,True,0.09128468536956012
0.5347091940405868,0.10448666086240843,0.785876295487711,0.10500406526539778,0.6813896346253026,0.6397132593059845,1.0,0,2,0.05,0.9,sgd,sgd_momentum,0.31796875,0.58203125,0.9,10,0.013701258345158753,0.0,True,0.757836430896747
0.5331973378528213,0.09656553889360642,0.7774173627874068,0.10500406526539778,0.6808518238938004,0.638201403118219,1.0,100,2,0.05,0.9,sgd,sgd_momentum,0.17246093750000002,0.7275390625,0.9,10,0.43114289203043976,0.0,True,0.13429058585847337
0.14253937165563357,-0.001995208109300206,0.25567747815160285,0.10500406526539778,0.25767268626090306,0.24754343692103137,1.0,250,2,0.05,0.9,sgd,sgd_momentum,-0.016015624999999978,0.916015625,0.9,10,0.13595794815082227,0.0,False,0.031557284766739274
0.07072409854177507,-0.00287553789781525,0.190620412557168,0.10500406526539778,0.19349595045498325,0.17572816380717285,1.0,500,2,0.05,0.9,sgd,sgd_momentum,-0.04433593749999998,0.9443359375,0.9,10,0.08964640534963586,0.0,False,0.01523237583247829
0.04146772960736479,0.016062826439536326,0.17825026494894436,0.10500406526539778,0.16218743850940803,0.14647179487276257,1.0,1000,2,0.05,0.9,sgd,sgd_momentum,-0.05556640624999998,0.95556640625,0.9,10,0.07098593465785039,0.0,False,0.006694981728101005
0.03196553461625497,0.05323939613991399,0.1995565707962205,0.10500406526539778,0.1463171746563065,0.13696959988165275,1.0,2000,2,0.05,0.9,sgd,sgd_momentum,-0.05556640624999998,0.95556640625,0.9,10,0.06414553325674002,0.0,False,0.002530904687086685
0.03171057401455178,0.1226994831020978,0.2638028927413325,0.10500406526539778,0.1411034096392347,0.13671463927994956,1.0,5000,2,0.05,0.9,sgd,sgd_momentum,-0.05556640624999998,0.95556640625,0.9,10,0.0636804979768575,0.0,False,0.0006244769983211606
0.5347091940405868,0.10448666086240843,0.785876295487711,0.10500406526539778,0.6813896346253026,0.6397132593059845,1.0,0,2,0.003,0.0,adam,adam_default,0.31796875,0.58203125,0.9,10,0.013701258345158753,0.0,True,0.757836430896747
0.36187389995044966,0.6787291341445769,1.519762036308213,0.10500406526539778,0.841032902163636,0.46687796521584746,1.0,100,2,0.003,0.0,adam,adam_default,0.09238281250000002,0.8076171875,0.9,10,0.7008523317997981,0.0,True,0.25161652710961674
0.27938086536847245,0.04714217393087805,0.4643111088088123,0.10500406526539778,0.41716893487793427,0.38438493063387025,1.0,250,2,0.003,0.0,adam,adam_default,0.03134765625000002,0.86865234375,0.9,10,0.2719402872406357,0.0,True,0.0788565533478041
0.08005431491659189,0.03661462540608321,0.23162292228514722,0.10500406526539778,0.195008296879064,0.18505838018198967,1.0,500,2,0.003,0.0,adam,adam_default,-0.03603515624999998,0.93603515625,0.9,10,0.12261620032205166,0.0,False,0.03030235105363889
0.013528190038771676,0.034889657505197735,0.16158269750845106,0.10500406526539778,0.12669304000325332,0.11853225530416946,1.0,1000,2,0.003,0.0,adam,adam_default,-0.05800781249999998,0.9580078125,0.9,10,0.07008776694806748,0.0,False,0.011577245252887851
0.019799675261347807,0.0802887963236639,0.20571751363944918,0.10500406526539778,0.12542871731578528,0.12480374052674559,1.0,2000,2,0.003,0.0,adam,adam_default,-0.06093749999999998,0.9609375,0.9,10,0.06058029290277594,0.0,False,0.002740901949766713
0.03942179519592966,0.28155728608065966,0.43174127377715077,0.10500406526539778,0.1501839876964911,0.14442586046132744,1.0,5000,2,0.003,0.0,adam,adam_default,-0.05458984374999998,0.95458984375,0.9,10,0.06879238593029702,0.0,False,0.00013262658331730237
0.5347091940405868,0.10448666086240843,0.785876295487711,0.10500406526539778,0.6813896346253026,0.6397132593059845,1.0,0,2,0.001,0.0,adam,adam_slow,0.31796875,0.58203125,0.9,10,0.013701258345158753,0.0,True,0.757836430896747
0.5397593020088968,0.1742428953623989,0.928335416489705,0.10500406526539778,0.7540925211273061,0.6447633672742945,1.0,100,2,0.001,0.0,adam,adam_slow,0.26474609375,0.63525390625,0.9,10,0.25672392853256004,0.0,True,0.5011324813124698
0.33450443144400815,0.6264562193216687,1.4599157414650978,0.10500406526539778,0.8334595221434291,0.43950849670940595,1.0,250,2,0.001,0.0,adam,adam_slow,0.07041015625000002,0.82958984375,0.9,10,0.676578261218862,0.0,True,0.26097046513110644
0.4274480927912386,0.11178473442608339,0.7612277003436769,0.10500406526539778,0.6494429659175935,0.5324521580566364,1.0,500,2,0.001,0.0,adam,adam_slow,0.06406250000000002,0.8359375,0.9,10,0.43254838616150887,0.0,True,0.13394729240166772
