C_actual,C_actual_after_balanced,C_linear,C_linear_prob,C_pred,C_prob,G_repr,G_use,R_actual,R_core,R_full_retrain,R_head,R_head_repair,R_probe,checkpoint,contamination_repair,d_z,d_z_value,full_retrain_gain,head_repair_gain,k,k_value,optimizer,rho,rho0,rho1,seed,sigma_c,sigma_c_value
0.00021272086418741204,0.10381652143677239,0.11335330459492873,0.0067503686996723666,0.23785082732706034,0.013497001117552882,0.6897047229994895,0.011878538749922285,0.7007473758334017,0.019970149177557663,0.27176501018455457,0.6888688370834795,0.6783573043173028,0.7096748721770472,0,-0.10360380057258498,narrow,2,0.4289823656488472,0.022390071516098953,linear,1,sgd,low,0.65,0.55,10,clean,0.0
0.0005966015540516442,0.06497658491390669,0.12038665263947443,0.00697845965829696,2.1340958812182036,0.07327212135814262,0.6299126024251126,0.044497415226599335,0.6931643579917772,0.021184065795707724,0.38454164681969305,0.6486669427651779,0.6469188046131106,0.6510966682208204,50,-0.06437998335985505,narrow,2,0.3086227111720842,0.04624555337866665,linear,1,sgd,low,0.65,0.55,10,clean,0.0
0.0034637497422389286,0.15954351505344413,0.2767101145654307,0.012792309795854079,5.6506021337093415,0.08688057335611377,0.45694557371113653,0.09570721894297274,0.6835563460115514,0.01941177770322298,0.43861717917974463,0.5878491270685786,0.5643845861920218,0.47635735141435953,100,-0.1560797653112052,narrow,2,0.24493916683180672,0.11917175981952954,linear,1,sgd,low,0.65,0.55,10,clean,0.0
0.11326932572727025,0.08521442916018418,0.4027612522488025,0.0118550876691133,5.998721550059914,0.047704476545747235,0.23314008127092778,0.13740101284064365,0.5700926632820775,0.019711931851556886,0.3829742694988304,0.4326916504414339,0.36076492078734124,0.2528520131224847,200,0.02805489656708607,narrow,2,0.18711839378324713,0.2093277424947363,linear,1,sgd,low,0.65,0.55,10,clean,0.0
0.7197774068857365,0.12257376339809455,0.4946224941456821,0.0024277264913045867,4.539584530995515,0.009196623802063479,0.030030915899034935,-0.00833079105956469,0.10025769409822766,0.021283289248050993,0.36491838062791543,0.10858848515779235,0.09909396900905351,0.05131420514708593,500,0.597203643487642,narrow,2,-0.26466068652968777,0.0011637250891741446,linear,1,sgd,low,0.65,0.55,10,clean,0.0
0.0008691665308526109,0.1510188685132144,0.09635963737780612,0.005711149635166009,0.6892653377084569,0.032159270658089795,0.6124436807686915,0.05736501128531313,0.7202999189529283,0.026202953057242896,0.3332255841650683,0.6629349076676152,0.6611153013428761,0.6386466338259343,0,-0.15014970198236177,narrow,2,0.38707433478786,0.059184617610052226,linear,1,sgd,low,0.65,0.55,11,clean,0.0
0.0035479809753658897,0.12268951189507704,0.2710123028721405,0.01516390988575905,1.8030553498551398,0.07292582522546395,0.6268782134629796,0.045885998470520994,0.6929014833711474,0.028179908619688082,0.21412623472324877,0.6470154849006264,0.647817594520637,0.6550581220826677,50,-0.11914153091971115,narrow,2,0.47877524864789867,0.0450838888505104,linear,1,sgd,low,0.65,0.55,11,clean,0.0
0.023474416130560064,0.17512237570962647,0.33340218448235326,0.017206163347470636,3.741958769694663,0.07589823750605548,0.5141114178874615,0.07475065215329524,0.6505710971676169,0.023874010399600666,0.2564027563413104,0.5758204450143216,0.5514073767164271,0.5379854282870622,100,-0.1516479595790664,narrow,2,0.3941683408263065,0.09916372045118971,linear,1,sgd,low,0.65,0.55,11,clean,0.0
0.2633592262161425,0.05708429142227445,0.8738956595891301,0.022896263811979123,4.232051253102165,0.05137440773290801,0.27981489389192304,0.08458157688462747,0.4403749521589989,0.03475752271855312,0.45385944054504657,0.35579337527437144,0.3471254393354233,0.3145724166104762,200,0.20627493479386805,narrow,2,-0.013484488386047655,0.09324951282357563,linear,1,sgd,low,0.65,0.55,11,clean,0.0
0.3286680796511533,0.09562360832533262,0.14825558384510837,0.002034184320238929,2.2173473240294994,0.008611126424677006,0.016790933892994797,-0.046017573510806,0.09350729409506318,0.03206856869002918,0.4649848536000488,0.13952486760586919,0.17376636906260484,0.048859502583023975,500,0.23304447132582068,narrow,2,-0.3714775595049856,-0.08025907496754166,linear,1,sgd,low,0.65,0.55,11,clean,0.0
