G_use_exact,R_target_balanced_head,R_target_source_opt,core_weight,rho,rho_target,shortcut_weight,sigma_c,source_prefers_shortcut,threshold_gap
0.0,0.0,0.0,inf,0.55,0.1,0.2006706954621514,0.0,False,-0.44999999999999996
0.03077351418609242,0.3250829733914483,0.35585648757754074,2.1972245773362196,0.55,0.1,0.2006706954621514,0.1,False,-0.35
0.054655563472460256,0.500402423538188,0.5550579870106482,1.3862943611198908,0.55,0.1,0.2006706954621514,0.2,False,-0.25
0.07168597220035855,0.6108643020548935,0.682550274255252,0.8472978603872034,0.55,0.1,0.2006706954621514,0.3,False,-0.1499999999999999
0.08189297933184558,0.6730116670092564,0.754904646341102,0.4054651081081642,0.55,0.1,0.2006706954621514,0.4,False,-0.04999999999999993
0.0,0.0,0.0,inf,0.65,0.1,0.6190392084062236,0.0,False,-0.35
0.10845285795371684,0.3250829733914483,0.43353583134516516,2.1972245773362196,0.65,0.1,0.6190392084062236,0.1,False,-0.25
0.19095108244663883,0.500402423538188,0.6913535059848268,1.3862943611198908,0.65,0.1,0.6190392084062236,0.2,False,-0.15000000000000002
0.24893275090596712,0.6108643020548935,0.8597970529608606,0.8472978603872034,0.65,0.1,0.6190392084062236,0.3,False,-0.04999999999999993
0.2833562303536895,0.6730116670092564,0.9563678973629459,0.4054651081081642,0.65,0.1,0.6190392084062236,0.4,True,0.050000000000000044
0.0,0.0,0.0,inf,0.75,0.1,1.0986122886681098,0.0,False,-0.25
0.22497394279684024,0.3250829733914483,0.5500569161882886,2.1972245773362196,0.75,0.1,1.0986122886681098,0.1,False,-0.15000000000000002
0.3875612019400202,0.500402423538188,0.8879636254782082,1.3862943611198908,0.75,0.1,1.0986122886681098,0.2,False,-0.050000000000000044
0.49800053713570047,0.6108643020548935,1.108864839190594,0.8472978603872034,0.75,0.1,1.0986122886681098,0.3,True,0.050000000000000044
0.5622071281294118,0.6730116670092564,1.2352187951386682,0.4054651081081642,0.75,0.1,1.0986122886681098,0.4,True,0.15000000000000002
0.0,0.0,0.0,inf,0.85,0.1,1.7346010553881064,0.0,False,-0.15000000000000002
0.43735209391692476,0.3250829733914483,0.7624350673083731,2.1972245773362196,0.85,0.1,1.7346010553881064,0.1,False,-0.050000000000000044
0.7185853755797121,0.500402423538188,1.2189877991179001,1.3862943611198908,0.85,0.1,1.7346010553881064,0.2,True,0.04999999999999993
0.8976324410823003,0.6108643020548935,1.5084967431371938,0.8472978603872034,0.85,0.1,1.7346010553881064,0.3,True,0.15000000000000002
0.998067292951757,0.6730116670092564,1.6710789599610134,0.4054651081081642,0.85,0.1,1.7346010553881064,0.4,True,0.25
0.0,0.0,0.0,inf,0.95,0.1,2.9444389791664394,0.0,False,-0.050000000000000044
1.0619277132593985,0.3250829733914483,1.3870106866508467,2.1972245773362196,0.95,0.1,2.9444389791664394,0.1,True,0.04999999999999993
1.5457733191187835,0.500402423538188,2.0461757426569713,1.3862943611198908,0.95,0.1,2.9444389791664394,0.2,True,0.1499999999999999
1.818136505256951,0.6108643020548935,2.4290008073118443,0.8472978603872034,0.95,0.1,2.9444389791664394,0.3,True,0.25
1.9625557147781558,0.6730116670092564,2.6355673817874123,0.4054651081081642,0.95,0.1,2.9444389791664394,0.4,True,0.35
